,acc,rec,epoch,dataset
fold1,0.6772315653298836,0.6407311895200313,67,iemocap_crema-d
fold1,0.6410748560460653,0.6108576979219247,67,iemocap
fold1,0.6956097560975609,0.5955500835510492,67,crema-d
fold2,0.6596610169491526,0.6244821607148908,45,iemocap_crema-d
fold2,0.6509433962264151,0.5160013993775183,45,iemocap
fold2,0.6645502645502646,0.5800281324712169,45,crema-d
fold3,0.6820809248554913,0.6556487015864838,77,iemocap_crema-d
fold3,0.5789473684210527,0.5158801009030609,77,iemocap
fold3,0.7516129032258064,0.6657686814765534,77,crema-d
fold4,0.6486120514556534,0.6274165367458275,82,iemocap_crema-d
fold4,0.552434456928839,0.5290814655757183,82,iemocap
fold4,0.7030752916224814,0.6537622525289917,82,crema-d
fold5,0.6512455516014235,0.608814175016431,57,iemocap_crema-d
fold5,0.6183310533515732,0.48511728524694897,57,iemocap
fold5,0.6764397905759162,0.5833941043975834,57,crema-d
average,0.6637662220383209,0.6314185527167329,57,iemocap_crema-d
average,0.6083462261947891,0.5313875898050342,57,iemocap
average,0.6982576012144059,0.6157006508850789,57,crema-d
