,acc,rec,epoch,dataset
fold1,0.6752910737386805,0.6509503758380405,93,iemocap_crema-d
fold1,0.5854126679462572,0.6181383184176834,93,iemocap
fold1,0.7209756097560975,0.6407158101873134,93,crema-d
fold2,0.7206779661016949,0.6974040492719304,67,iemocap_crema-d
fold2,0.7547169811320755,0.7201180697363775,67,iemocap
fold2,0.7015873015873015,0.6325461765502205,67,crema-d
fold3,0.680796403339756,0.6502060287294027,56,iemocap_crema-d
fold3,0.5853269537480064,0.5257940585651641,56,iemocap
fold3,0.7451612903225806,0.6368050663064779,56,crema-d
fold4,0.7000677048070413,0.6465320672599792,78,iemocap_crema-d
fold4,0.6385767790262172,0.6202465159361711,78,iemocap
fold4,0.7348886532343585,0.6293562973621327,78,crema-d
fold5,0.6743772241992882,0.6384210891010934,82,iemocap_crema-d
fold5,0.6114911080711354,0.5229332181752571,82,iemocap
fold5,0.7225130890052356,0.6311089959000286,82,crema-d
average,0.6902420744372922,0.6567027220400893,82,iemocap_crema-d
average,0.6351048979847385,0.6014460361661306,82,iemocap
average,0.7250251887811148,0.6341064692612346,82,crema-d
