,acc,rec,epoch,dataset
fold1,0.6618279569892473,0.5681951080744653,98,msp-improv_crema-d
fold1,0.5976047904191617,0.48135671334613833,98,msp-improv
fold1,0.7141463414634146,0.6062691124396422,98,crema-d
fold2,0.6020696142991533,0.5091111846004803,54,msp-improv_crema-d
fold2,0.5385266723116003,0.39648162271019083,54,msp-improv
fold2,0.6814814814814815,0.5994143780542363,54,crema-d
fold3,0.6804260985352862,0.5786292231921463,77,msp-improv_crema-d
fold3,0.5541958041958042,0.43922354830156407,77,msp-improv
fold3,0.7580645161290323,0.612161566457952,77,crema-d
fold4,0.6369973190348526,0.5549784882174466,91,msp-improv_crema-d
fold4,0.527114967462039,0.4430387794024158,91,msp-improv
fold4,0.7444326617179216,0.6277069403035118,91,crema-d
fold5,0.5688888888888889,0.49156508092804907,65,msp-improv_crema-d
fold5,0.44485981308411215,0.34061173257554495,65,msp-improv
fold5,0.7078534031413612,0.6065692401390976,65,crema-d
average,0.6300419755494857,0.5404958170025176,65,msp-improv_crema-d
average,0.5324604094945434,0.4201424792671708,65,msp-improv
average,0.7211956807866422,0.6104242474788879,65,crema-d
