,acc,rec,epoch,dataset
fold1,0.6704301075268817,0.5934344666766701,98,msp-improv_crema-d
fold1,0.6059880239520958,0.5206311827263579,98,msp-improv
fold1,0.7229268292682927,0.6297022156038665,98,crema-d
fold2,0.6237064910630291,0.5619512608419663,86,msp-improv_crema-d
fold2,0.550381033022862,0.4627528719242061,86,msp-improv
fold2,0.7153439153439154,0.6555106159798638,86,crema-d
fold3,0.6644474034620506,0.6210658714754045,78,msp-improv_crema-d
fold3,0.5629370629370629,0.5084140829324795,78,msp-improv
fold3,0.7268817204301076,0.6798601501099154,78,crema-d
fold4,0.6487935656836461,0.5849534405259854,93,msp-improv_crema-d
fold4,0.5629067245119306,0.5150508582326765,93,msp-improv
fold4,0.7327677624602333,0.6370499181827713,93,crema-d
fold5,0.6128395061728396,0.5722878013801639,85,msp-improv_crema-d
fold5,0.48411214953271026,0.44333569082409896,85,msp-improv
fold5,0.7570680628272252,0.682451681371316,85,crema-d
average,0.6440434147816895,0.586738568180038,85,msp-improv_crema-d
average,0.5532649987913324,0.4900369373279638,85,msp-improv
average,0.7309976580659548,0.6569149162495466,85,crema-d
