,acc,rec,epoch,dataset
fold1,0.6069321533923304,0.6210724459646098,97,iemocap_msp-improv
fold1,0.6602687140115163,0.6930393233147102,97,iemocap
fold1,0.5736526946107784,0.5615299732946791,97,msp-improv
fold2,0.5581531268264173,0.5525595292229988,84,iemocap_msp-improv
fold2,0.6056603773584905,0.6758481094146522,84,iemocap
fold2,0.5368331922099915,0.5155666438226029,84,msp-improv
fold3,0.6013344453711427,0.5609148415949609,54,iemocap_msp-improv
fold3,0.6363636363636364,0.595673442300076,54,iemocap
fold3,0.5629370629370629,0.5015136219419182,54,msp-improv
fold4,0.6098901098901099,0.6070534103100027,51,iemocap_msp-improv
fold4,0.6254681647940075,0.6451973951973952,51,iemocap
fold4,0.6008676789587852,0.5842021614748888,51,msp-improv
fold5,0.5707940033314826,0.5580303317686663,95,iemocap_msp-improv
fold5,0.615595075239398,0.6248708538655845,95,iemocap
fold5,0.5401869158878505,0.5139221757116148,95,msp-improv
average,0.5894207677622966,0.5799261117722476,95,iemocap_msp-improv
average,0.6286711935534097,0.6469258248184836,95,iemocap
average,0.5628955089208937,0.5353469152491408,95,msp-improv
