,acc,rec,epoch,dataset
fold1,0.7218628719275549,0.7075033379460042,79,iemocap_crema-d
fold1,0.6564299424184261,0.6734458839415081,79,iemocap
fold1,0.7551219512195122,0.6984591110514697,79,crema-d
fold2,0.7186440677966102,0.709098982756658,76,iemocap_crema-d
fold2,0.690566037735849,0.7342065825577901,76,iemocap
fold2,0.7343915343915344,0.6967034613431828,76,crema-d
fold3,0.7180475272960822,0.6990062734927898,98,iemocap_crema-d
fold3,0.6172248803827751,0.5874084361809547,98,iemocap
fold3,0.7860215053763441,0.7346345571285284,98,crema-d
fold4,0.7000677048070413,0.686103052842537,86,iemocap_crema-d
fold4,0.6441947565543071,0.6409875139760197,86,iemocap
fold4,0.7317073170731707,0.6890122214672079,86,crema-d
fold5,0.7206405693950177,0.7204131334164884,82,iemocap_crema-d
fold5,0.652530779753762,0.6342886869021491,82,iemocap
fold5,0.7727748691099476,0.73420147067076,82,crema-d
average,0.7158525482444613,0.7044249560908955,82,iemocap_crema-d
average,0.6521892793690239,0.6540674207116843,82,iemocap
average,0.7560034354341019,0.7106021643322297,82,crema-d
