,acc,rec,epoch,dataset
fold1,0.5892330383480826,0.5070813585957042,76,iemocap_msp-improv
fold1,0.6506717850287908,0.6076010426961533,76,iemocap
fold1,0.5508982035928144,0.42713227875157816,76,msp-improv
fold2,0.603156049094097,0.5059882886273477,73,iemocap_msp-improv
fold2,0.7377358490566037,0.6561445120493423,73,iemocap
fold2,0.5427603725656224,0.44705470086585997,73,msp-improv
fold3,0.5262718932443703,0.4469254668805283,57,iemocap_msp-improv
fold3,0.5103668261562998,0.4534944107268374,57,iemocap
fold3,0.5437062937062938,0.4194262274823098,57,msp-improv
fold4,0.5659340659340659,0.49812334750370435,92,iemocap_msp-improv
fold4,0.5898876404494382,0.5576777469018849,92,iemocap
fold4,0.5520607375271149,0.4603517694426786,92,msp-improv
fold5,0.5524708495280399,0.48109801383013207,93,iemocap_msp-improv
fold5,0.6210670314637483,0.6200708917257739,93,iemocap
fold5,0.505607476635514,0.4252174229509905,93,msp-improv
average,0.5674131792297312,0.4878432950874833,93,iemocap_msp-improv
average,0.6219458264309761,0.5789977208199983,93,iemocap
average,0.5390066168054719,0.4358364798986834,93,msp-improv
