,acc,rec,epoch,dataset
fold1,0.6002949852507374,0.4917816033397,87,iemocap_msp-improv
fold1,0.6410748560460653,0.5572745594850687,87,iemocap
fold1,0.5748502994011976,0.4350681997740821,87,msp-improv
fold2,0.5955581531268265,0.4760631269379105,83,iemocap_msp-improv
fold2,0.6943396226415094,0.5567544366628137,83,iemocap
fold2,0.5512277730736664,0.4232733302254484,83,msp-improv
fold3,0.5287739783152627,0.44572701584353447,98,iemocap_msp-improv
fold3,0.5550239234449761,0.49003680392765525,98,iemocap
fold3,0.5,0.37534102573810907,98,msp-improv
fold4,0.5254120879120879,0.4329779349305945,45,iemocap_msp-improv
fold4,0.49063670411985016,0.43659003831417625,45,iemocap
fold4,0.5455531453362256,0.4301546937910574,45,msp-improv
fold5,0.5446973903387007,0.4466647914884631,80,iemocap_msp-improv
fold5,0.6238030095759234,0.49664878167093574,80,iemocap
fold5,0.49065420560747663,0.4084712156546155,80,msp-improv
average,0.5589473189887231,0.45864289450804047,80,iemocap_msp-improv
average,0.6009756231656648,0.5074609240121299,80,iemocap
average,0.5324570846837132,0.4144616930366626,80,msp-improv
