,acc,rec,epoch,dataset
fold1,0.7089262613195343,0.6921899698760943,99,iemocap_crema-d
fold1,0.6641074856046065,0.7002825155942471,99,iemocap
fold1,0.7317073170731707,0.6660254957626882,99,crema-d
fold2,0.7023728813559322,0.6822810274693114,86,iemocap_crema-d
fold2,0.6754716981132075,0.6393631351759202,86,iemocap
fold2,0.7174603174603175,0.6570148861661991,86,crema-d
fold3,0.6942838792549775,0.6743143524758586,99,iemocap_crema-d
fold3,0.6044657097288676,0.579397293314637,99,iemocap
fold3,0.7548387096774194,0.6787567129042757,99,crema-d
fold4,0.6878808395396073,0.6441009273290701,89,iemocap_crema-d
fold4,0.6198501872659176,0.6078669202232421,89,iemocap
fold4,0.7264050901378579,0.6363959609421745,89,crema-d
fold5,0.6850533807829181,0.6901210025082067,90,iemocap_crema-d
fold5,0.6224350205198358,0.6037663493903918,90,iemocap
fold5,0.7329842931937173,0.7036277097569085,90,crema-d
average,0.695703448450594,0.6766014559317082,90,iemocap_crema-d
average,0.6372660202464869,0.6261352427396876,90,iemocap
average,0.7326791455084966,0.6683641531064493,90,crema-d
