,acc,rec,epoch,dataset
fold1,0.6371681415929203,0.576692504835803,93,iemocap_msp-improv
fold1,0.6852207293666027,0.6568713589679525,93,iemocap
fold1,0.6071856287425149,0.5068076888962547,93,msp-improv
fold2,0.6043249561659848,0.5074532533466981,69,iemocap_msp-improv
fold2,0.7056603773584905,0.6063613333128618,69,iemocap
fold2,0.558848433530906,0.46004089136478604,69,msp-improv
fold3,0.5796497080900751,0.5165588012720899,94,iemocap_msp-improv
fold3,0.5869218500797448,0.5354390781713282,94,iemocap
fold3,0.5716783216783217,0.48217656754869315,94,msp-improv
fold4,0.6023351648351648,0.5658194107908364,94,iemocap_msp-improv
fold4,0.5861423220973783,0.5644449473472462,94,iemocap
fold4,0.6117136659436009,0.5671964399237126,94,msp-improv
fold5,0.5674625208217657,0.49399472726301097,87,iemocap_msp-improv
fold5,0.6388508891928865,0.5904039948415492,87,iemocap
fold5,0.5186915887850467,0.4468580441274336,87,msp-improv
average,0.5981880983011821,0.5321037395016877,87,iemocap_msp-improv
average,0.6405592336190206,0.5907041425281875,87,iemocap
average,0.573623527736078,0.492615926372176,87,msp-improv
