,acc,rec,epoch,dataset
fold1,0.646774193548387,0.5503417785113905,77,msp-improv_crema-d
fold1,0.5616766467065868,0.4443393226440153,77,msp-improv
fold1,0.7160975609756097,0.6196214874651249,77,crema-d
fold2,0.6218250235183443,0.5747928448302201,97,msp-improv_crema-d
fold2,0.5698560541913632,0.5178620610235173,97,msp-improv
fold2,0.6867724867724868,0.6240026513649868,97,crema-d
fold3,0.6584553928095872,0.5866779219398852,92,msp-improv_crema-d
fold3,0.5506993006993007,0.4636853975492139,92,msp-improv
fold3,0.7247311827956989,0.6422500661113428,92,crema-d
fold4,0.6300268096514745,0.5652444995188384,70,msp-improv_crema-d
fold4,0.56941431670282,0.49586247086247087,70,msp-improv
fold4,0.689289501590668,0.6123264977373015,70,crema-d
fold5,0.5649382716049383,0.49937158458467606,98,msp-improv_crema-d
fold5,0.4785046728971963,0.3746130460075111,98,msp-improv
fold5,0.6617801047120419,0.5772782732821662,98,crema-d
average,0.6244039382265463,0.5552857258770021,98,msp-improv_crema-d
average,0.5460301982394534,0.4592724596173457,98,msp-improv
average,0.6957341673693012,0.6150957951921845,98,crema-d
