,acc,uar,epoch,dataset
fold1,0.6150442477876106,0.5879064865763312,168,iemocap_msp-improv
fold1,0.6583493282149712,0.6649447474387804,168,iemocap
fold1,0.5880239520958084,0.5216507165449664,168,msp-improv
fold2,0.587375803623612,0.5340972089400403,182,iemocap_msp-improv
fold2,0.6811320754716981,0.6783672137691729,182,iemocap
fold2,0.5453005927180355,0.47993671247127584,182,msp-improv
fold3,0.5813177648040033,0.5321483251376511,155,iemocap_msp-improv
fold3,0.6108452950558214,0.570111125383114,155,iemocap
fold3,0.548951048951049,0.47529229122792177,155,msp-improv
fold4,0.5913461538461539,0.5587865720756504,179,iemocap_msp-improv
fold4,0.5861423220973783,0.5718113038515338,179,iemocap
fold4,0.5943600867678959,0.551372112735749,179,msp-improv
fold5,0.5624652970571904,0.5126094119097663,157,iemocap_msp-improv
fold5,0.640218878248974,0.6138857790621322,157,iemocap
fold5,0.5093457943925234,0.45474562660145257,157,msp-improv
average,0.587509853423714,0.5451096009278877,157,iemocap_msp-improv
average,0.6353375798177685,0.6198240339009466,157,iemocap
average,0.5571962949850624,0.4965994919162731,157,msp-improv
