,acc,uar,epoch,dataset
fold1,0.6650537634408602,0.5847472749784302,179,msp-improv_crema-d
fold1,0.6071856287425149,0.5058525322074562,179,msp-improv
fold1,0.7121951219512195,0.6254589445014317,179,crema-d
fold2,0.6091251175917215,0.5546521676781291,160,msp-improv_crema-d
fold2,0.5325994919559696,0.4483344473761135,160,msp-improv
fold2,0.7047619047619048,0.648299398413043,160,crema-d
fold3,0.6770972037283621,0.5942367748053837,124,msp-improv_crema-d
fold3,0.5594405594405595,0.4683435302793391,124,msp-improv
fold3,0.7494623655913979,0.6329339756976915,124,crema-d
fold4,0.6235924932975871,0.5444723398245171,160,msp-improv_crema-d
fold4,0.527114967462039,0.4681977113795296,160,msp-improv
fold4,0.7179215270413574,0.6028722516872433,160,crema-d
fold5,0.5738271604938272,0.5187290899950148,132,msp-improv_crema-d
fold5,0.44205607476635517,0.3788913570861262,132,msp-improv
fold5,0.7214659685863875,0.6342548227805569,132,crema-d
average,0.6297391477104716,0.559367529456295,132,msp-improv_crema-d
average,0.5336793444734876,0.45392391566571294,132,msp-improv
average,0.7211613775864534,0.6287638786159933,132,crema-d
