,acc,uar,epoch,dataset
fold1,0.6714100905562742,0.6531986010719041,160,iemocap_crema-d
fold1,0.6199616122840691,0.6451747674308429,160,iemocap
fold1,0.697560975609756,0.6323453002113094,160,crema-d
fold2,0.6569491525423728,0.638738865640611,95,iemocap_crema-d
fold2,0.6094339622641509,0.5357500378358342,95,iemocap
fold2,0.6835978835978836,0.6226754704755777,95,crema-d
fold3,0.6705202312138728,0.6433121118291908,169,iemocap_crema-d
fold3,0.5773524720893142,0.5672471803874135,169,iemocap
fold3,0.7333333333333333,0.629815674276831,169,crema-d
fold4,0.6560595802301964,0.6086430837142632,186,iemocap_crema-d
fold4,0.5430711610486891,0.5382374543294084,186,iemocap
fold4,0.7200424178154825,0.6180320030193525,186,crema-d
fold5,0.6619217081850534,0.648048185086586,192,iemocap_crema-d
fold5,0.5800273597811217,0.5265008015711979,192,iemocap
fold5,0.724607329842932,0.6719577882244274,192,crema-d
average,0.6633721525455539,0.638388169468511,192,iemocap_crema-d
average,0.5859693134934689,0.5625820483109394,192,iemocap
average,0.7118283880398775,0.6349652472414996,192,crema-d
