,acc,rec,epoch,dataset
fold1,0.6430107526881721,0.60117752963719,93,msp-improv_crema-d
fold1,0.5724550898203593,0.5286990126712532,93,msp-improv
fold1,0.7004878048780487,0.6432417139144317,93,crema-d
fold2,0.6171213546566322,0.5662155801807045,61,msp-improv_crema-d
fold2,0.5512277730736664,0.4834662515225287,61,msp-improv
fold2,0.6994708994708995,0.6402982285568115,61,crema-d
fold3,0.6371504660452729,0.6418188194447354,84,msp-improv_crema-d
fold3,0.5506993006993007,0.5332927860275654,84,msp-improv
fold3,0.6903225806451613,0.6908319293900818,84,crema-d
fold4,0.6230563002680966,0.573378017817211,61,msp-improv_crema-d
fold4,0.527114967462039,0.5118616232252595,61,msp-improv
fold4,0.7168610816542949,0.6207314331176049,61,crema-d
fold5,0.5753086419753086,0.5204008446238618,25,msp-improv_crema-d
fold5,0.44953271028037384,0.3814927325632348,25,msp-improv
fold5,0.7162303664921466,0.6332426546971266,25,crema-d
average,0.6191295031266965,0.5805981583407405,25,msp-improv_crema-d
average,0.5302059682671478,0.48776248120196825,25,msp-improv
average,0.7046745466281102,0.6456691919352113,25,crema-d
