,acc,uar,epoch,dataset
fold1,0.6290560471976401,0.5949273412327736,190,iemocap_msp-improv
fold1,0.6737044145873321,0.6823850528058181,190,iemocap
fold1,0.6011976047904192,0.5218402805977161,190,msp-improv
fold2,0.5949736995908825,0.5195271478871182,132,iemocap_msp-improv
fold2,0.7113207547169811,0.654890073193147,132,iemocap
fold2,0.5427603725656224,0.45797166943556006,132,msp-improv
fold3,0.5929941618015012,0.5372124344459324,125,iemocap_msp-improv
fold3,0.6028708133971292,0.563305788367604,125,iemocap
fold3,0.5821678321678322,0.49489620613147917,125,msp-improv
fold4,0.6092032967032966,0.5783312237964464,146,iemocap_msp-improv
fold4,0.6198501872659176,0.6136186078714814,146,iemocap
fold4,0.6030368763557483,0.5579307056579784,146,msp-improv
fold5,0.5624652970571904,0.49696604138146405,109,iemocap_msp-improv
fold5,0.625170998632011,0.5585094103275497,109,iemocap
fold5,0.5196261682242991,0.4558968164445062,109,msp-improv
average,0.5977385004701021,0.5453928377487469,109,iemocap_msp-improv
average,0.6465834337198741,0.6145417865131201,109,iemocap
average,0.5697577708207843,0.49770713565344804,109,msp-improv
