,acc,uar,epoch,dataset
fold1,0.6489247311827957,0.5588187886009609,187,msp-improv_crema-d
fold1,0.6,0.5104243171824137,187,msp-improv
fold1,0.688780487804878,0.5792122358375904,187,crema-d
fold2,0.59689557855127,0.514681472979856,191,msp-improv_crema-d
fold2,0.5207451312447079,0.4077164385439004,191,msp-improv
fold2,0.692063492063492,0.6120245724484497,191,crema-d
fold3,0.6677762982689747,0.5912318552856329,186,msp-improv_crema-d
fold3,0.5384615384615384,0.4670560246966051,186,msp-improv
fold3,0.7473118279569892,0.6376123782574338,186,crema-d
fold4,0.6418230563002681,0.5706075850994053,184,msp-improv_crema-d
fold4,0.559652928416486,0.49527972027972034,184,msp-improv
fold4,0.7221633085896076,0.6272190647658571,184,crema-d
fold5,0.5940740740740741,0.5511998291095356,194,msp-improv_crema-d
fold5,0.4588785046728972,0.4158529863287366,194,msp-improv
fold5,0.7455497382198953,0.6688153289142248,194,crema-d
average,0.6298987476754765,0.5573079062150781,194,msp-improv_crema-d
average,0.5355476205591259,0.4592658974062752,194,msp-improv
average,0.7191737709269724,0.6249767160447111,194,crema-d
