,acc,rec,epoch,dataset
fold1,0.6143067846607669,0.5842533985983989,195,iemocap_msp-improv
fold1,0.654510556621881,0.6689532862142439,195,iemocap
fold1,0.5892215568862276,0.5112637509365864,195,msp-improv
fold2,0.5914669783752192,0.5303618159533711,99,iemocap_msp-improv
fold2,0.6867924528301886,0.6514645483717431,99,iemocap
fold2,0.5486875529212532,0.4811870105555873,99,msp-improv
fold3,0.5771476230191827,0.5294521671416565,194,iemocap_msp-improv
fold3,0.5853269537480064,0.5530429694329377,194,iemocap
fold3,0.5681818181818182,0.49078273994897537,194,msp-improv
fold4,0.6092032967032966,0.5950064539399277,165,iemocap_msp-improv
fold4,0.6179775280898876,0.6227584569538593,165,iemocap
fold4,0.60412147505423,0.578708412799322,165,msp-improv
fold5,0.5791227096057746,0.5344172041253784,117,iemocap_msp-improv
fold5,0.625170998632011,0.5721969779878493,117,iemocap
fold5,0.5476635514018692,0.49872078362536515,117,msp-improv
average,0.5942494784728479,0.5546982079517464,117,iemocap_msp-improv
average,0.6339556979843949,0.6136832477921266,117,iemocap
average,0.5715751908890796,0.5121325395731672,117,msp-improv
