,acc,rec,epoch,dataset
fold1,0.6994623655913978,0.6356910608968483,189,msp-improv_crema-d
fold1,0.6191616766467066,0.5538639501792179,189,msp-improv
fold1,0.7648780487804878,0.6844372499051057,189,crema-d
fold2,0.6420507996237065,0.5847757280612756,126,msp-improv_crema-d
fold2,0.5817104149026249,0.5192911163600403,126,msp-improv
fold2,0.7174603174603175,0.6466250637423883,126,crema-d
fold3,0.7010652463382158,0.6399745781583851,88,msp-improv_crema-d
fold3,0.5681818181818182,0.5033796717306953,88,msp-improv
fold3,0.7827956989247312,0.7030317149601286,88,crema-d
fold4,0.689544235924933,0.6525468493885265,154,msp-improv_crema-d
fold4,0.6019522776572668,0.570586988768807,154,msp-improv
fold4,0.7751855779427359,0.7232308873718725,154,crema-d
fold5,0.6370370370370371,0.6007084810547594,147,msp-improv_crema-d
fold5,0.5233644859813084,0.48643796302362785,147,msp-improv
fold5,0.7643979057591623,0.6836223064628582,147,crema-d
average,0.6738319369030581,0.6227393395119589,147,msp-improv_crema-d
average,0.578874134673945,0.5267119380124777,147,msp-improv
average,0.7609435097734869,0.6881894444884706,147,crema-d
