,acc,rec,epoch,dataset
fold1,0.6370967741935484,0.546999200024185,57,msp-improv_crema-d
fold1,0.5856287425149701,0.47326441642370265,57,msp-improv
fold1,0.6790243902439025,0.5739716934473796,57,crema-d
fold2,0.6053621825023519,0.5498337880279444,182,msp-improv_crema-d
fold2,0.5359864521591872,0.4741890666706603,182,msp-improv
fold2,0.692063492063492,0.617661160966902,182,crema-d
fold3,0.6484687083888149,0.5753471689352174,195,msp-improv_crema-d
fold3,0.5034965034965035,0.43752028146984856,195,msp-improv
fold3,0.7376344086021506,0.6240525672836552,195,crema-d
fold4,0.6418230563002681,0.6203422936580524,194,msp-improv_crema-d
fold4,0.5498915401301518,0.5404216995126085,194,msp-improv
fold4,0.7317073170731707,0.6796543898261211,194,crema-d
fold5,0.5871604938271605,0.5485400504743687,144,msp-improv_crema-d
fold5,0.47570093457943924,0.4294405192334914,144,msp-improv
fold5,0.7120418848167539,0.6343417422750552,144,crema-d
average,0.6239822430424288,0.5682125002239535,144,msp-improv_crema-d
average,0.5301408345760504,0.47096719666206227,144,msp-improv
average,0.710494298559894,0.6259363107598227,144,crema-d
