,acc,uar,epoch,dataset
fold1,0.5921828908554573,0.5052535593546162,131,iemocap_msp-improv
fold1,0.6487523992322457,0.5921523462433704,131,iemocap
fold1,0.5568862275449101,0.43120366451496656,131,msp-improv
fold2,0.5616598480420807,0.48539899130449116,160,iemocap_msp-improv
fold2,0.6528301886792452,0.5801777406852562,160,iemocap
fold2,0.5207451312447079,0.43982891101870225,160,msp-improv
fold3,0.5379482902418682,0.48590794212654165,170,iemocap_msp-improv
fold3,0.5566188197767146,0.5192843304111407,170,iemocap
fold3,0.5174825174825175,0.4420564731061172,170,msp-improv
fold4,0.5707417582417582,0.544420394422867,179,iemocap_msp-improv
fold4,0.5805243445692884,0.5497859154468351,179,iemocap
fold4,0.5650759219088937,0.5426944267853359,179,msp-improv
fold5,0.5341476957245974,0.46387977244142864,190,iemocap_msp-improv
fold5,0.5978112175102599,0.5223615810770041,190,iemocap
fold5,0.49065420560747663,0.4220125727285131,190,msp-improv
average,0.5593360966211522,0.49697213192998896,190,iemocap_msp-improv
average,0.6073073939535508,0.5527523827727213,190,iemocap
average,0.5301688007577011,0.45555920963072694,190,msp-improv
