,acc,uar,epoch,dataset
fold1,0.6701164294954722,0.633712524899075,146,iemocap_crema-d
fold1,0.654510556621881,0.648885987921139,146,iemocap
fold1,0.6780487804878049,0.5842138425046031,146,crema-d
fold2,0.6596610169491526,0.6511149320596731,112,iemocap_crema-d
fold2,0.6188679245283019,0.5146138990210938,112,iemocap
fold2,0.6825396825396826,0.6393546128172447,112,crema-d
fold3,0.6750160565189467,0.6541220888142415,146,iemocap_crema-d
fold3,0.6092503987240829,0.5654561332148758,146,iemocap
fold3,0.7193548387096774,0.650051817205777,146,crema-d
fold4,0.6262694651320244,0.5719815480883447,78,iemocap_crema-d
fold4,0.5187265917602997,0.4924318391272414,78,iemocap
fold4,0.6871686108165429,0.585106588905399,78,crema-d
fold5,0.6269276393831554,0.5983880528722404,87,iemocap_crema-d
fold5,0.5540355677154583,0.47632943245209797,87,iemocap
fold5,0.6827225130890052,0.5994264991151849,87,crema-d
average,0.6515981214957502,0.6218638293467149,87,iemocap_crema-d
average,0.5910782078700049,0.5395434583472896,87,iemocap
average,0.6899668851285425,0.6116306721096418,87,crema-d
