,acc,uar,epoch,dataset
fold1,0.6135693215339233,0.5615697466872362,184,iemocap_msp-improv
fold1,0.6583493282149712,0.6270487101258835,184,iemocap
fold1,0.5856287425149701,0.5031342399980867,184,msp-improv
fold2,0.6253652834599649,0.5498369197612596,181,iemocap_msp-improv
fold2,0.7132075471698113,0.6486278039643181,181,iemocap
fold2,0.5859441151566469,0.5022346909892371,181,msp-improv
fold3,0.567139282735613,0.5120208822608298,187,iemocap_msp-improv
fold3,0.580542264752791,0.5342630651267175,187,iemocap
fold3,0.5524475524475524,0.4744192855203438,187,msp-improv
fold4,0.6208791208791209,0.5893923028089418,187,iemocap_msp-improv
fold4,0.6104868913857678,0.5903771887967291,187,iemocap
fold4,0.6268980477223427,0.588996609451155,187,msp-improv
fold5,0.5563575791227096,0.47190619031871595,132,iemocap_msp-improv
fold5,0.615595075239398,0.5173468437024898,132,iemocap
fold5,0.5158878504672897,0.44113253458727275,132,msp-improv
average,0.5966621175462664,0.5369452083673967,132,iemocap_msp-improv
average,0.6356362213525479,0.5835327223432276,132,iemocap
average,0.5733612616617604,0.5019834721092191,132,msp-improv
