,acc,uar,epoch,dataset
fold1,0.6709677419354839,0.5948226911726979,118,msp-improv_crema-d
fold1,0.6023952095808384,0.5140999853491592,118,msp-improv
fold1,0.7268292682926829,0.6371816278769871,118,crema-d
fold2,0.6378174976481655,0.5577766056740467,190,msp-improv_crema-d
fold2,0.5825571549534293,0.47670368170871885,190,msp-improv
fold2,0.7068783068783069,0.6295017559955218,190,crema-d
fold3,0.6904127829560586,0.6262558490884098,137,msp-improv_crema-d
fold3,0.5786713286713286,0.5053816514267125,137,msp-improv
fold3,0.7591397849462366,0.6799654565596865,137,crema-d
fold4,0.6418230563002681,0.5790932205250183,168,msp-improv_crema-d
fold4,0.5661605206073753,0.5325439711803348,168,msp-improv
fold4,0.7158006362672322,0.6073222180648162,168,crema-d
fold5,0.5787654320987654,0.5199564802780889,132,msp-improv_crema-d
fold5,0.45607476635514016,0.3786056992887282,132,msp-improv
fold5,0.7162303664921466,0.626187454578415,132,crema-d
average,0.6439573021877483,0.5755809693476523,132,msp-improv_crema-d
average,0.5571717960336224,0.48146699779073077,132,msp-improv
average,0.724975672575321,0.6360317026150855,132,crema-d
