,acc,rec,epoch,dataset
fold1,0.7238033635187581,0.6871046132414644,199,iemocap_crema-d
fold1,0.6737044145873321,0.6850995152203021,199,iemocap
fold1,0.7492682926829268,0.6626998032765544,199,crema-d
fold2,0.6969491525423729,0.6891624956781278,163,iemocap_crema-d
fold2,0.6509433962264151,0.6594635536731467,163,iemocap
fold2,0.7227513227513227,0.6788676195865341,163,crema-d
fold3,0.6885035324341683,0.6733125049910399,174,iemocap_crema-d
fold3,0.5773524720893142,0.5602360589291002,174,iemocap
fold3,0.7634408602150538,0.7138755491217025,174,crema-d
fold4,0.6872037914691943,0.6526535103815545,184,iemocap_crema-d
fold4,0.6217228464419475,0.6224292310499207,184,iemocap
fold4,0.7242841993637328,0.6467268226876923,184,crema-d
fold5,0.6915776986951364,0.6727946688617358,135,iemocap_crema-d
fold5,0.6183310533515732,0.5345280490762705,135,iemocap
fold5,0.7476439790575916,0.6891135376862445,135,crema-d
average,0.697607507731926,0.6750055586307846,135,iemocap_crema-d
average,0.6284108365393164,0.612351281589748,135,iemocap
average,0.7414777308141256,0.6782566664717455,135,crema-d
