,acc,uar,epoch,dataset
fold1,0.6261061946902655,0.5551270661423691,168,iemocap_msp-improv
fold1,0.6737044145873321,0.628041738024741,168,iemocap
fold1,0.5964071856287425,0.49144252787676446,168,msp-improv
fold2,0.5821157218001168,0.523806254480841,169,iemocap_msp-improv
fold2,0.6641509433962264,0.6515258917741605,169,iemocap
fold2,0.5453005927180355,0.47248528469382456,169,msp-improv
fold3,0.5771476230191827,0.5096765717550013,174,iemocap_msp-improv
fold3,0.5933014354066986,0.5323317955250135,174,iemocap
fold3,0.5594405594405595,0.4758088167031534,174,msp-improv
fold4,0.5803571428571429,0.5218677819400237,160,iemocap_msp-improv
fold4,0.5430711610486891,0.499767612123934,160,iemocap
fold4,0.6019522776572668,0.5344087730451367,160,msp-improv
fold5,0.5641310383120489,0.48326877465298257,159,iemocap_msp-improv
fold5,0.6210670314637483,0.557806963317026,159,iemocap
fold5,0.525233644859813,0.44148137614451777,159,msp-improv
average,0.5859715441357513,0.5187492897942435,159,iemocap_msp-improv
average,0.6190589971805389,0.573894800152975,159,iemocap
average,0.5656668520608835,0.4831253556926794,159,msp-improv
