,acc,uar,epoch,dataset
fold1,0.6862871927554981,0.6551909835507252,187,iemocap_crema-d
fold1,0.6564299424184261,0.6736283675700354,187,iemocap
fold1,0.7014634146341463,0.621788512811849,187,crema-d
fold2,0.6393220338983051,0.6049853259798148,138,iemocap_crema-d
fold2,0.590566037735849,0.5144166482057042,138,iemocap
fold2,0.6666666666666666,0.5870893702888769,138,crema-d
fold3,0.680796403339756,0.6652587064032265,183,iemocap_crema-d
fold3,0.5885167464114832,0.5664520514220267,183,iemocap
fold3,0.7430107526881721,0.6907178837283288,183,crema-d
fold4,0.6418415707515234,0.6055564060701301,188,iemocap_crema-d
fold4,0.5337078651685393,0.5228923109670236,188,iemocap
fold4,0.7030752916224814,0.6308321290762539,188,crema-d
fold5,0.6441281138790036,0.635092782103005,126,iemocap_crema-d
fold5,0.5718194254445964,0.5143639857905977,126,iemocap
fold5,0.6994764397905759,0.651116302629684,126,crema-d
average,0.6584750629248173,0.6332168408213803,126,iemocap_crema-d
average,0.5882080034357788,0.5583506727910775,126,iemocap
average,0.7027385130804085,0.6363088397069985,126,crema-d
