,acc,rec,epoch,dataset
fold1,0.6194690265486725,0.5499984994687279,96,iemocap_msp-improv
fold1,0.6813819577735125,0.641852180800539,96,iemocap
fold1,0.5808383233532934,0.47521721687286794,96,msp-improv
fold2,0.586791350087668,0.5248577132191117,113,iemocap_msp-improv
fold2,0.660377358490566,0.6638461989792,113,iemocap
fold2,0.5537679932260796,0.4722794550500378,113,msp-improv
fold3,0.5696413678065054,0.5194309996975887,181,iemocap_msp-improv
fold3,0.5869218500797448,0.5473577170504051,181,iemocap
fold3,0.5506993006993007,0.4751934297219071,181,msp-improv
fold4,0.6064560439560439,0.5749995336576493,164,iemocap_msp-improv
fold4,0.5842696629213483,0.5549533586889909,164,iemocap
fold4,0.6193058568329718,0.5870947234583599,164,msp-improv
fold5,0.5702387562465298,0.5198198005407054,130,iemocap_msp-improv
fold5,0.6306429548563611,0.6038601864614329,130,iemocap
fold5,0.5289719626168224,0.4716539775129295,130,msp-improv
average,0.5905193089290839,0.5378213093167565,130,iemocap_msp-improv
average,0.6287187568243066,0.6023739283961136,130,iemocap
average,0.5667166873456937,0.49628776052322043,130,msp-improv
