,acc,rec,epoch,dataset
fold1,0.6630012936610608,0.6381084958411236,198,iemocap_crema-d
fold1,0.6238003838771593,0.6251770780331102,198,iemocap
fold1,0.6829268292682927,0.6086160182268191,198,crema-d
fold2,0.663728813559322,0.6656294360577331,180,iemocap_crema-d
fold2,0.6660377358490566,0.6415334973251711,180,iemocap
fold2,0.6624338624338625,0.6223376185151637,180,crema-d
fold3,0.6525369299935774,0.6590221209974545,145,iemocap_crema-d
fold3,0.6220095693779905,0.5962092668115275,145,iemocap
fold3,0.6731182795698925,0.6494259814822789,145,crema-d
fold4,0.6513202437373053,0.6122842213230211,176,iemocap_crema-d
fold4,0.5786516853932584,0.5778341496732301,176,iemocap
fold4,0.6924708377518558,0.6063563552907504,176,crema-d
fold5,0.6174377224199288,0.5731191408757396,100,iemocap_crema-d
fold5,0.5800273597811217,0.5019164132794613,100,iemocap
fold5,0.6460732984293194,0.5511515264981928,100,crema-d
average,0.6496050006742389,0.6296326830190144,100,iemocap_crema-d
average,0.6141053468557173,0.5885340810245,100,iemocap
average,0.6714046214906445,0.6075775000026409,100,crema-d
