,acc,rec,epoch,dataset
fold1,0.6193548387096774,0.5297541190880641,183,msp-improv_crema-d
fold1,0.5880239520958084,0.46882441198369806,183,msp-improv
fold1,0.6448780487804878,0.5522245997685451,183,crema-d
fold2,0.6020696142991533,0.5072370815499673,182,msp-improv_crema-d
fold2,0.5469940728196444,0.40987749646810895,182,msp-improv
fold2,0.6708994708994709,0.5862405670262633,182,crema-d
fold3,0.6051930758988016,0.5469882375296984,187,msp-improv_crema-d
fold3,0.493006993006993,0.41969668734950216,187,msp-improv
fold3,0.6741935483870968,0.6018666168711188,187,crema-d
fold4,0.6402144772117963,0.5899329125661268,199,msp-improv_crema-d
fold4,0.5856832971800434,0.5340750158931977,199,msp-improv
fold4,0.6935312831389183,0.6292341065189015,199,crema-d
fold5,0.5412345679012346,0.49612537217437136,113,msp-improv_crema-d
fold5,0.4616822429906542,0.39136230161933966,113,msp-improv
fold5,0.6303664921465969,0.5739368466498858,113,crema-d
average,0.6016133148041327,0.5340075445816457,113,msp-improv_crema-d
average,0.5350781116186287,0.4447671826627693,113,msp-improv
average,0.6627737686705142,0.5887005473669429,113,crema-d
